127.0.0.1, 2014-11-01 10:42:41, GET, /, HTTP/1.1, 303, 0.002290
127.0.0.1, 2014-11-01 10:42:42, GET, /, HTTP/1.1, 303, 0.000646
127.0.0.1, 2014-11-01 10:42:42, GET, /welcome/default/index, HTTP/1.1, 200, 1.050309
127.0.0.1, 2014-11-01 10:42:42, GET, /welcome/default/index, HTTP/1.1, 200, 0.494460
127.0.0.1, 2014-11-01 10:42:42, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000558
127.0.0.1, 2014-11-01 10:42:42, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000354
127.0.0.1, 2014-11-01 10:42:42, GET, /welcome/static/css/web2py.css, HTTP/1.1, 304, 0.000306
127.0.0.1, 2014-11-01 10:42:42, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.003295
127.0.0.1, 2014-11-01 10:42:42, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000398
127.0.0.1, 2014-11-01 10:42:42, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000471
127.0.0.1, 2014-11-01 10:42:42, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000391
127.0.0.1, 2014-11-01 10:42:42, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000420
127.0.0.1, 2014-11-01 10:42:42, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000380
127.0.0.1, 2014-11-01 10:42:42, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000366
127.0.0.1, 2014-11-01 10:42:42, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000494
127.0.0.1, 2014-11-01 10:42:42, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000521
127.0.0.1, 2014-11-01 10:42:43, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.001259
127.0.0.1, 2014-11-01 10:42:43, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.001106
127.0.0.1, 2014-11-01 10:42:43, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.000476
127.0.0.1, 2014-11-01 10:42:43, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 304, 0.000535
127.0.0.1, 2014-11-01 10:42:51, GET, /welcome/static/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000663
127.0.0.1, 2014-11-01 10:43:19, GET, /admin/default/index, HTTP/1.1, 200, 0.121233
127.0.0.1, 2014-11-01 10:43:19, GET, /admin/static/_2.9.11/js/jquery.js, HTTP/1.1, 200, 0.000523
127.0.0.1, 2014-11-01 10:43:19, GET, /admin/static/_2.9.11/css/calendar.css, HTTP/1.1, 200, 0.000707
127.0.0.1, 2014-11-01 10:43:19, GET, /admin/static/_2.9.11/js/calendar.js, HTTP/1.1, 200, 0.000388
127.0.0.1, 2014-11-01 10:43:19, GET, /admin/static/_2.9.11/js/web2py.js, HTTP/1.1, 200, 0.000376
127.0.0.1, 2014-11-01 10:43:19, GET, /admin/static/_2.9.11/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000719
127.0.0.1, 2014-11-01 10:43:19, GET, /admin/static/_2.9.11/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000574
127.0.0.1, 2014-11-01 10:43:19, GET, /admin/static/_2.9.11/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000800
127.0.0.1, 2014-11-01 10:43:19, GET, /admin/static/_2.9.11/css/bootstrap.min.css, HTTP/1.1, 200, 0.002372
127.0.0.1, 2014-11-01 10:43:19, GET, /admin/static/_2.9.11/plugin_multiselect/start.js, HTTP/1.1, 200, 0.003913
127.0.0.1, 2014-11-01 10:43:19, GET, /admin/static/_2.9.11/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.003139
127.0.0.1, 2014-11-01 10:43:19, GET, /admin/static/_2.9.11/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.004303
127.0.0.1, 2014-11-01 10:43:19, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000785
127.0.0.1, 2014-11-01 10:43:19, GET, /admin/static/_2.9.11/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.001527
